word,type,condition,experiment,grouping
unpack,prime,stem-from-prefixed-prime,two,stem-standard
content,target,stem-from-prefixed-prime,two,stem-standard
material,target,stem-from-prefixed-prime,two,stem-standard
eligible,target,stem-from-prefixed-prime,two,stem-standard
dress,target,stem-from-prefixed-prime,two,stem-standard
fold,target,stem-from-prefixed-prime,two,stem-standard
see,target,stem-from-prefixed-prime,two,stem-standard
leash,target,stem-from-prefixed-prime,two,stem-standard
school,target,stem-from-prefixed-prime,two,stem-standard
set,target,stem-from-prefixed-prime,two,stem-standard
approve,target,stem-from-prefixed-prime,two,stem-standard
live,target,stem-from-prefixed-prime,two,stem-standard
wise,target,stem-from-prefixed-prime,two,stem-standard
open,target,stem-from-prefixed-prime,two,stem-standard
load,target,stem-from-prefixed-prime,two,stem-standard
mature,target,stem-from-prefixed-prime,two,stem-standard
rational,target,stem-from-prefixed-prime,two,stem-standard
birth,target,stem-from-prefixed-prime,two,stem-standard
enchant,target,stem-from-prefixed-prime,two,stem-standard
just,target,stem-from-prefixed-prime,two,stem-standard
safe,target,stem-from-prefixed-prime,two,stem-standard
create,target,stem-from-prefixed-prime,two,stem-standard
lock,target,stem-from-prefixed-prime,two,stem-standard
make,target,stem-from-prefixed-prime,two,stem-standard
pack,target,stem-from-prefixed-prime,two,stem-standard
split,target,identity,two,stem-standard
grant,target,identity,two,stem-standard
alias,target,identity,two,stem-standard
teach,target,identity,two,stem-standard
label,target,identity,two,stem-standard
horse,target,identity,two,stem-standard
scale,target,identity,two,stem-standard
raise,target,identity,two,stem-standard
abuse,target,identity,two,stem-standard
dance,target,identity,two,stem-standard
minor,target,identity,two,stem-standard
beach,target,identity,two,stem-standard
worry,target,identity,two,stem-standard
waste,target,identity,two,stem-standard
serve,target,identity,two,stem-standard
stage,target,identity,two,stem-standard
limit,target,identity,two,stem-standard
frame,target,identity,two,stem-standard
cheap,target,identity,two,stem-standard
count,target,identity,two,stem-standard
flame,target,identity,two,stem-standard
giant,target,identity,two,stem-standard
enter,target,identity,two,stem-standard
mouse,target,identity,two,stem-standard
semantic,prime,orthographic,one,two
absence,prime,orthographic,one,two
breakfast,prime,orthographic,one,two
electric,prime,orthographic,one,two
strategic,prime,orthographic,one,two
domestic,prime,orthographic,one,two
appointed,prime,orthographic,one,two
announced,prime,orthographic,one,two
ministry,prime,orthographic,one,two
workshop,prime,orthographic,one,two
feathers,prime,orthographic,one,two
magical,prime,orthographic,one,two
monetary,prime,orthographic,one,two
muscular,prime,orthographic,one,two
policies,prime,orthographic,one,two
rambling,prime,orthographic,one,two
brothers,prime,orthographic,one,two
grateful,prime,orthographic,one,two
fortress,prime,orthographic,one,two
shouting,prime,orthographic,one,two
threaten,prime,orthographic,one,two
schedules,prime,orthographic,one,two
memories,prime,orthographic,one,two
scrambled,prime,orthographic,one,two
seminar,target,orthographic,one,two
abstract,target,orthographic,one,two
breathing,target,orthographic,one,two
election,target,orthographic,one,two
structure,target,orthographic,one,two
dominate,target,orthographic,one,two
approval,target,orthographic,one,two
annoying,target,orthographic,one,two
minority,target,orthographic,one,two
worldwide,target,orthographic,one,two
featured,target,orthographic,one,two
magnetic,target,orthographic,one,two
monsters,target,orthographic,one,two
musical,target,orthographic,one,two
politely,target,orthographic,one,two
rampage,target,orthographic,one,two
brochure,target,orthographic,one,two
graduate,target,orthographic,one,two
fortunate,target,orthographic,one,two
shoulders,target,orthographic,one,two
threshold,target,orthographic,one,two
schematic,target,orthographic,one,two
membrane,target,orthographic,one,two
scratches,target,orthographic,one,two
relation,prime,semantic,one,two
duplicate,prime,semantic,one,two
pleasant,prime,semantic,one,two
sanctuary,prime,semantic,one,two
broadcast,prime,semantic,one,two
romantic,prime,semantic,one,two
reactions,prime,semantic,one,two
diplomacy,prime,semantic,one,two
consumers,prime,semantic,one,two
clinical,prime,semantic,one,two
treasury,prime,semantic,one,two
dynamite,prime,semantic,one,two
weekends,prime,semantic,one,two
criminals,prime,semantic,one,two
addiction,prime,semantic,one,two
astrology,prime,semantic,one,two
synthesis,prime,semantic,one,two
disorders,prime,semantic,one,two
captive,prime,semantic,one,two
wildlife,prime,semantic,one,two
reduction,prime,semantic,one,two
liberals,prime,semantic,one,two
catalogs,prime,semantic,one,two
particle,prime,semantic,one,two
apparent,target,semantic,one,two
signature,target,semantic,one,two
enjoyable,target,semantic,one,two
paradise,target,semantic,one,two
wireless,target,semantic,one,two
classical,target,semantic,one,two
chemical,target,semantic,one,two
alliance,target,semantic,one,two
producer,target,semantic,one,two
diagnosis,target,semantic,one,two
currency,target,semantic,one,two
explosion,target,semantic,one,two
vacation,target,semantic,one,two
firearms,target,semantic,one,two
tolerance,target,semantic,one,two
astronomy,target,semantic,one,two
cellular,target,semantic,one,two
syndrome,target,semantic,one,two
prisoner,target,semantic,one,two
preserve,target,semantic,one,two
decrease,target,semantic,one,two
consensus,target,semantic,one,two
inventory,target,semantic,one,two
electron,target,semantic,one,two
task,target,nw-w_foil,two,stem-standard
wolf,target,nw-w_foil,two,stem-standard
lake,target,nw-w_foil,two,stem-standard
fault,target,nw-w_foil,two,stem-standard
solve,target,nw-w_foil,two,stem-standard
click,target,nw-w_foil,two,stem-standard
lotus,target,nw-w_foil,two,stem-standard
chair,target,nw-w_foil,two,stem-standard
