"word","type","condition","experiment","grouping","Length","Freq_HAL","Log_Freq_HAL","MorphSp","MorphPr","NMorph","POS"
"summit","prime","semantic-2","two","stems-from-aff",6,5625,8.635,NA,"{s""V.m@t}","1","NN"
"swift","prime","stem-from-affix-conds","two","stems-from-aff",5,4024,8.3,NA,"{sw""Ift}","1","JJ|NN"
"swiftly","prime","suffix","one","one",7,893,6.795,NA,"{sw""Ift}.>li>","2","RB"
"syndrome","target","semantic","one","two",8,7055,8.861,NA,"{s""In.drom}","1","NN"
"synthesis","prime","semantic","one","two",9,6742,8.816,NA,"{s""In-.-T@.s--Is}","3","NN"
"tabloid","target","identity","one","one",7,1102,7.005,NA,"{t""a.blOId}","1","NN"
"tall","target","semantic-2","two","stems-from-aff",4,11346,9.337,NA,"{t""Ol}","1","JJ|NN"
"task","target","nw-w_foil","two","stem-standard",4,21503,9.976,NA,"{t""ask}","1","NN|VB"
"tasteful","prime","suffixed-stem","one","one",8,502,6.219,NA,"{t""est}.>fl=>","2","JJ"
"tasteless","target","suffixed-stem","one","one",9,1289,7.162,NA,"{t""est}.>l@s>","2","JJ"
"tax","target","stem-from-affix-conds","two","stems-from-aff",3,62254,11.039,NA,"{t""aks}","1","NN|VB"
"taxable","target","suffix","one","one",7,1526,7.33,NA,"{t""aks}.>@.bl=>","2","JJ"
"teach","target","identity","two","stem-standard",5,22492,10.021,NA,"{t""itS}","1","VB"
"tenure","target","nw-w_foil","one","one",6,1463,7.288,NA,"{t""E.nj@`}","1","NN"
"thank","target","stem-from-affix-conds","two","stems-from-aff",5,95706,11.469,NA,"{T""aNk}","1","VB|NN"
"thankful","target","suffix","one","one",8,2279,7.731,NA,"{T""aNk}.>fl=>","2","JJ"
"thick","target","stem-from-suffixed-prime","two","stem-standard",5,11429,9.344,NA,"{T""Ik}","1","JJ|NN|RB"
"thickness","prime","stem-from-suffixed-prime","two","stem-standard",9,2209,7.7,NA,"{T""Ik}.>n@s>","2","NN"
"thought","target","stem-from-suffixed-prime","two","stem-standard",7,174954,12.072,NA,"{T""Ot}","1","VB|NN"
"thoughtful","prime","stem-from-suffixed-prime","two","stem-standard",10,2448,7.803,NA,"{T""Ot}.>fl=>","2","JJ"
"threaten","prime","orthographic","one","two",8,4138,8.328,NA,"{Tr""Et}.>n=>","2","VB"
"threshold","target","orthographic","one","two",9,2994,8.004,NA,"{Tr""ES.hold}","1","NN"
"throne","prime","stem-from-affix-conds","two","stems-from-aff",6,5951,8.691,NA,"{Tr""on}","1","NN"
"time","prime","stem-from-affix-conds","two","stems-from-aff",4,788823,13.578,NA,"{t""aIm}","1","NN|VB"
"timeless","prime","suffix","one","one",8,809,6.696,NA,"{t""aIm}.>l@s>","2","JJ"
"titan","prime","stem-from-affix-conds","two","stems-from-aff",5,2713,7.906,NA,"{t""aI.tn=}","1","NN"
"titanic","prime","suffix","one","one",7,765,6.64,NA,"{taI.t""an$}.>Ik>","2","NN|JJ"
"tolerance","target","semantic","one","two",9,5156,8.548,NA,"{t""A.l@`.r--@ns}","2","NN"
"tongue","target","semantic-2","two","stems-from-aff",6,14963,9.613,NA,"{t""VN}","1","NN"
"touch","prime","stem-from-affix-conds","two","stems-from-aff",5,34803,10.457,NA,"{t""VtS}","1","NN|VB"
"trace","prime","stem-from-affix-conds","two","stems-from-aff",5,8554,9.054,NA,"{tr""es}","1","NN|VB"
"trade","target","stem-from-suffixed-prime","two","stem-standard",5,76384,11.244,NA,"{tr""ed}","1","NN|VB"
"trader","prime","stem-from-suffixed-prime","two","stem-standard",6,2675,7.892,NA,"{tr""e4}.>@`>","2","NN"
"travel","target","stem-from-suffixed-prime","two","stem-standard",6,45977,10.736,NA,"{tr""a.vl=}","1","NN|VB"
"traveler","prime","stem-from-suffixed-prime","two","stem-standard",8,2049,7.625,NA,"{tr""a.vl=}.>@`>","2","NN"
"treasury","prime","semantic","one","two",8,4536,8.42,NA,"{tr""E.Zr}.>i>","2","NN"
"trick","target","semantic-2","two","stems-from-aff",5,15658,9.659,NA,"{tr""Ik}","1","NN|VB"
"trickle","target","nw-w_foil","one","one",7,1586,7.369,NA,"{tr""I.kl=}","1","NN|VB"
"TRUE","prime","stem-from-affix-conds","two","stems-from-aff",4,0,0,NA,"{tr""u}","1","JJ"
"tweet","prime","stem-from-affix-conds","two","stems-from-aff",5,270,5.598,NA,"{tw""it}","1","VB|NN"
"tweeter","prime","suffix","one","one",7,450,6.109,NA,"{tw""i4}.>@`>","2","NN"
"unbelief","prime","prefixed-stem","one","one",8,185,5.22,NA,"<%Vn<.{b@.l""if}","2","NN"
"unbound","prime","prefixed-stem","one","one",7,346,5.846,NA,"<Vn<.{b""aUnd}","2","JJ"
"unburden","prime","prefixed-stem","one","one",8,26,3.258,NA,"<Vn<.{b""3`.dn=}","2","VB"
"uncle","target","semantic-2","two","stems-from-aff",5,10780,9.285,NA,"{""VN.kl=}","1","NN"
"unclear","target","prefix","one","one",7,3993,8.292,NA,"<Vn<.{kl""Ir}","2","JJ"
"uncommon","target","prefix","one","one",8,19316,9.869,NA,"<Vn<.{k""A.m@n}","2","JJ"
"uncut","target","prefixed-stem","one","one",5,1267,7.144,NA,"<Vn<.{k""Vt}","2","JJ|NN"
"undo","target","prefixed-stem","one","one",4,2398,7.782,NA,"<Vn<.{d""u}","2","VB"
"undress","prime","stem-from-prefixed-prime","two","stem-standard",7,580,6.363,NA,"<Vn<.{dr""Es}","2","VB|NN"
"undue","prime","prefixed-stem","one","one",5,1087,6.991,NA,"<Vn<.{d""u}","2","JJ"
"uneven","prime","prefix","one","one",6,1235,7.119,NA,"<Vn<.{""i.vn=}","2","JJ"
"unfair","prime","prefix","one","one",6,6396,8.763,NA,"<Vn<.{f""Er}","2","JJ|NN"
"unfit","target","prefixed-stem","one","one",5,805,6.691,NA,"<Vn<.{f""It}","2","JJ"
"unfold","prime","stem-from-prefixed-prime","two","stem-standard",6,583,6.368,NA,"<Vn<.{f""old}","2","VB"
"unjust","prime","stem-from-prefixed-prime","two","stem-standard",6,1787,7.488,NA,"<Vn<.{dZ""Vst}","2","JJ|NN"
"unleash","prime","stem-from-prefixed-prime","two","stem-standard",7,642,6.465,NA,"<Vn<.{l""iS}","2","VB"
"unlike","target","prefixed-stem","one","one",6,18198,9.809,NA,"<Vn<.{l""aIk}","2","minor"
"unload","prime","prefixed-stem","one","one",6,1880,7.539,NA,"<Vn<.{l""od}","2","VB|NN"
"unlock","prime","stem-from-prefixed-prime","two","stem-standard",6,1507,7.318,NA,"<Vn<.{l""Ak}","2","VB"
"unpack","prime","stem-from-prefixed-prime","two","stem-standard",6,1392,7.238,NA,"<Vn<.{p""ak}","2","VB"
"unsafe","prime","stem-from-prefixed-prime","two","stem-standard",6,1688,7.431,NA,"<Vn<.{s""ef}","2","JJ|NN"
"unsettle","prime","prefixed-stem","one","one",8,28,3.332,NA,"<Vn<.{s""E.4l=}","2","VB"
"untrue","prime","prefix","one","one",6,2364,7.768,NA,"<Vn<.{tr""u}","2","JJ"
"unusual","target","prefix","one","one",7,12648,9.445,NA,"<Vn<.{j""u.Zu@l}","2","JJ"
"unwise","prime","stem-from-prefixed-prime","two","stem-standard",6,744,6.612,NA,"<Vn<.{w""aIz}","2","JJ"
"usual","target","stem-from-affix-conds","two","stems-from-aff",5,28950,10.273,NA,"{j""u.Zu@l}","1","JJ|NN"
"vacation","target","semantic","one","two",8,9491,9.158,NA,"{ve.k--""e.S$}>n=>","3","NN|VB"
"visible","prime","stem-from-affix-conds","two","stems-from-aff",7,12546,9.437,NA,"{v""I.z--@.bl=}","2","JJ"
"waste","target","identity","two","stem-standard",5,27081,10.207,NA,"{w""est}","1","NN|VB|JJ"
"watcher","target","suffixed-stem","one","one",7,1464,7.289,NA,"{w""AtS}.>@`>","2","NN"
"watchful","prime","suffixed-stem","one","one",8,282,5.642,NA,"{w""AtS}.>fl=>","2","JJ"
"weekends","prime","semantic","one","two",8,5103,8.538,NA,"{w""ik}.{End}>z>","3","NN"
"whine","prime","stem-from-affix-conds","two","stems-from-aff",5,3757,8.231,NA,"{hw""aIn}","1","NN|VB"
"whiner","prime","suffix","one","one",6,718,6.576,NA,"{hw""aIn}.>@`>","2","NN"
"whiskey","target","nw-w_foil","one","one",7,1364,7.218,NA,"{hw""I.ski}","1","NN"
"whistle","target","identity","one","one",7,2672,7.891,NA,"{hw""I.sl=}","1","NN"
"wildlife","prime","semantic","one","two",8,4582,8.43,NA,"{w""aIld}.{l%aIf}","2","NN"
"wireless","target","semantic","one","two",8,6503,8.78,NA,"{w""aIr}.>l@s>","2","JJ|NN"
"wise","target","stem-from-prefixed-prime","two","stem-standard",4,13444,9.506,NA,"{w""aIz}","1","JJ|NN"
"wolf","target","nw-w_foil","two","stem-standard",4,21576,9.979,NA,"{w""Ulf}","1","NN|VB"
"work","target","stem-from-affix-conds","two","stems-from-aff",4,451298,13.02,NA,"{w""3`k}","1","NN|VB"
"workable","target","suffix","one","one",8,1678,7.425,NA,"{w""3`k}.>@.bl=>","2","JJ"
"workshop","prime","orthographic","one","two",8,15377,9.641,NA,"{w""3`k}.{S%Ap}","2","NN"
"worldwide","target","orthographic","one","two",9,18597,9.831,NA,"{w%3`ld}.{w""aId}","2","JJ"
"worry","target","identity","two","stem-standard",5,27060,10.206,NA,"{w""3`.ri}","1","VB|NN"
"wrong","target","stem-from-suffixed-prime","two","stem-standard",5,138848,11.841,NA,"{r""ON}","1","JJ|NN|RB|VB"
"wrongful","prime","stem-from-suffixed-prime","two","stem-standard",8,560,6.328,NA,"{r""ON}.>fl=>","2","JJ"
